County,pop_15,da_budget_2015,pd_budget_2015,budget_case_pd_2015,da_budget_per_capita_2015,pd_budget_per_capita_2015,total_cases_per_capita_2015,pd_cases_per_capita_2015,total_cases_2008,total_cases_2015,pd_cases_2008,pd_cases_2015,pd_cases_2008_pct,pd_cases_2015_pct,total_cases_pct_chng,pd_cases_pct_chng,criminal_2015,pd_lawyers_2015,pop_08,pd_budget_2008,pd_budget_per_capita_2008,pd_budget_per_capita_pct_chng
Adams,"102,295","1,176,414","544,894",1017,11.5,5.33,0.01009,0.00524,"1,330",1032,482,536,0.3624,0.5194,-0.2241,0.112,1020,4," 101,011 "," 432,860 ",4.29,0.24
Allegheny,"1,230,459","17,124,349","9,450,426",1474,13.92,7.68,0.0111,0.00521,"19,347",13658,6195,6411,0.3202,0.4694,-0.2941,0.0349,13596,73," 1,222,473 "," 7,434,286 ",6.08,0.26
Armstrong,"67,052","985,343","213,771",798,14.7,3.19,0.0101,0.004,871,677,304,268,0.349,0.3959,-0.2227,-0.1184,672,2.5," 68,806 "," 175,001 ",2.54,0.25
Beaver,"168,871","2,744,980","1,438,083",1049,16.25,8.52,0.01373,0.00812,"2,819",2319,1527,1371,0.5417,0.5912,-0.1774,-0.1022,2292,8.5," 173,277 "," 1,043,095 ",6.02,0.42
Bedford,"48,586","375,745","295,757",1183,7.73,6.09,0.00926,0.00515,522,450,284,250,0.5441,0.5556,-0.1379,-0.1197,448,3," 49,648 "," 151,155 ",3.04,1.00
Berks,"415,271","10,284,493","3,251,203",1205,24.77,7.83,0.01159,0.0065,"5,875",4811,2961,2698,0.504,0.5608,-0.1811,-0.0888,4806,25," 401,488 "," 2,816,196 ",7.01,0.12
Blair,"125,593","828,721","423,985",316,6.6,3.38,0.01895,0.01069,"2,854",2380,1293,1343,0.453,0.5643,-0.1661,0.0387,2373,5.5," 125,984 "," 310,242 ",2.46,0.37
Bradford,"61,281","617,272","308,135",833,10.07,5.03,0.01354,0.00604,628,830,247,370,0.3933,0.4458,0.3217,0.498,829,2.5," 61,375 "," 142,690 ",2.32,1.16
Bucks,"627,367","9,277,900","3,899,600",1733,14.79,6.22,0.00961,0.00359,"9,050",6026,2656,2250,0.2935,0.3734,-0.3341,-0.1529,6011,23," 621,241 "," 3,097,200 ",4.99,0.25
Butler,"186,818","1,918,734","980,241",889,10.27,5.25,0.01131,0.0059,"2,661",2112,1017,1103,0.3822,0.5223,-0.2063,0.0846,2111,6," 182,519 "," 648,146 ",3.55,0.48
Cambria,"136,411","1,908,940","826,292",660,13.99,6.06,0.01638,0.00918,"2,756",2235,1540,1252,0.5588,0.5602,-0.189,-0.187,2224,7," 145,219 "," 439,919 ",3.03,1.00
Cameron,"4,732","101,637","37,900",743,21.48,8.01,0.01352,0.01078,94,64,68,51,0.7234,0.7969,-0.3191,-0.25,64,0.5," 5,334 "," 17,900 ",3.36,1.39
Carbon,"63,960","878,060","564,948",1239,13.73,8.83,0.01506,0.00713,822,963,280,456,0.3406,0.4735,0.1715,0.6286,963,4," 62,856 "," 317,427 ",5.05,0.75
Centre,"160,580","1,602,431","1,011,710",1586,9.98,6.3,0.00892,0.00397,"2,388",1432,909,638,0.3807,0.4455,-0.4003,-0.2981,1423,7," 144,306 "," 675,491 ",4.68,0.35
Chester,"515,939","9,341,291","3,817,692",2044,18.11,7.4,0.00756,0.00362,"5,102",3900,1911,1868,0.3746,0.479,-0.2356,-0.0225,3879,30.5," 486,301 "," 3,286,744 ",6.76,0.09
Clarion,"39,498","624,695","277,335",1132,15.82,7.02,0.01398,0.0062,822,552,220,245,0.2676,0.4438,-0.3285,0.1136,552,2," 39,857 "," 264,865 ",6.65,0.06
Clearfield,"80,994","643,066","403,676",1416,7.94,4.98,0.0074,0.00352,"1,031",599,396,285,0.3841,0.4758,-0.419,-0.2803,599,4.5," 82,482 "," 374,748 ",4.54,0.10
Clinton,"39,441","464,184","335,509",942,11.77,8.51,0.01237,0.00903,534,488,336,356,0.6292,0.7295,-0.0861,0.0595,459,1.5," 37,063 "," 292,105 ",7.88,0.08
Columbia,"66,672","513,125","258,767",721,7.7,3.88,0.01102,0.00538,862,735,395,359,0.4582,0.4884,-0.1473,-0.0911,731,2.5," 64,837 "," 191,300 ",2.95,0.32
Crawford,"86,484","986,410","744,768",1286,11.41,8.61,0.01191,0.00669,887,1030,224,579,0.2525,0.5621,0.1612,1.5848,857,7," 88,810 "," 601,994 ",6.78,0.27
Cumberland,"246,338","4,142,556","1,237,857",943,16.82,5.03,0.0091,0.00533,"3,199",2242,1701,1312,0.5317,0.5852,-0.2992,-0.2287,2237,11," 227,858 "," 998,575 ",4.38,0.15
Dauphin,"272,983","4,803,115","3,848,221",1164,17.59,14.1,0.01895,0.01211,"5,818",5173,3095,3307,0.532,0.6393,-0.1109,0.0685,5166,26," 256,400 "," 2,910,174 ",11.35,0.24
Delaware,"563,894","5,528,000","3,792,000",1236,9.8,6.72,0.01138,0.00544,"8,598",6418,3235,3067,0.3763,0.4779,-0.2535,-0.0519,6406,23," 555,018 "," 3,387,000 ",6.10,0.10
Elk,"30,872","300,027","163,210",571,9.72,5.29,0.01393,0.00926,455,430,261,286,0.5736,0.6651,-0.0549,0.0958,429,0.5," 32,594 "," 119,000 ",3.65,0.45
Erie,"278,045","3,070,758","1,450,276",1018,11.04,5.22,0.00885,0.00512,"3,014",2461,1413,1424,0.4688,0.5786,-0.1835,0.0078,2456,11.5," 279,721 "," 1,239,781 ",4.43,0.18
Fayette,"133,628","1,248,935","568,843",542,9.35,4.26,0.01349,0.00786,"2,118",1803,869,1050,0.4103,0.5824,-0.1487,0.2083,1801,4.5," 143,925 "," 427,939 ",2.97,0.43
Forest,"7,410","125,127","52,226",2009,16.89,7.05,0.00594,0.00351,78,44,36,26,0.4615,0.5909,-0.4359,-0.2778,44,0.5," 6,811 "," 49,185 ",7.22,-0.02
Franklin,"153,638","1,472,116","773,164",722,9.58,5.03,0.01252,0.00697,"2,423",1923,1231,1071,0.508,0.5569,-0.2064,-0.13,1919,8," 141,556 "," 694,121 ",4.90,0.03
Fulton,"14,629","279,422","84,609",729,19.1,5.78,0.01353,0.00793,189,198,58,116,0.3069,0.5859,0.0476,1,197,1," 14,808 "," 80,332 ",5.42,0.07
Greene,"37,519","103,362","219,602",1347,2.75,5.85,0.008,0.00434,500,300,209,163,0.418,0.5433,-0.4,-0.2201,297,2," 39,509 "," 311,445 ",7.88,-0.26
Huntingdon,"45,668","426,500","299,512",1772,9.34,6.56,0.01434,0.0037,597,655,252,169,0.4221,0.258,0.0972,-0.3294,655,2.5," 45,479 "," 293,000 ",6.44,0.02
Indiana,"86,966","1,146,284","541,886",929,13.18,6.23,0.01015,0.0067,"1,006",883,478,583,0.4751,0.6602,-0.1223,0.2197,882,6," 87,629 "," 385,321 ",4.40,0.42
Jefferson,"44,430","521,424","285,059",1717,11.74,6.42,0.01083,0.00374,693,481,98,166,0.1414,0.3451,-0.3059,0.6939,467,1," 44,965 "," 253,462 ",5.64,0.14
Juniata,"24,737","386,420","148,000",1333,15.62,5.98,0.00675,0.00449,347,167,207,111,0.5965,0.6647,-0.5187,-0.4638,166,1," 23,107 "," 72,816 ",3.15,0.90
Lackawanna,"211,917","3,834,470","810,378",1130,18.09,3.82,0.00804,0.00338,"2,916",1704,1166,717,0.3999,0.4208,-0.4156,-0.3851,1671,8.5," 209,100 "," 808,870 ",3.87,-0.01
Lancaster,"536,624","6,325,594","3,105,087",1611,11.79,5.79,0.00761,0.00359,"4,945",4082,2050,1928,0.4146,0.4723,-0.1745,-0.0595,4077,25.5," 498,918 "," 3,013,771 ",6.04,-0.04
Lawrence,"88,082","1,229,133","632,927",1239,13.95,7.19,0.0098,0.0058,"1,489",863,746,511,0.501,0.5921,-0.4204,-0.315,859,5," 90,962 "," 506,000 ",5.56,0.29
Lebanon,"137,067","1,233,322","636,048",585,9,4.64,0.01462,0.00793,"2,181",2004,912,1087,0.4182,0.5424,-0.0812,0.1919,1988,5.5," 127,882 "," 570,568 ",4.46,0.04
Lehigh,"360,685","5,511,585","2,345,414",1891,15.28,6.5,0.01014,0.00344,"4,930",3657,1628,1240,0.3302,0.3391,-0.2582,-0.2383,3632,16.5," 337,077 "," 1,893,526 ",5.62,0.16
Luzerne,"318,449","5,253,444","2,772,843",1874,16.5,8.71,0.01256,0.00465,"4,424",4001,542,1480,0.1225,0.3699,-0.0956,1.7306,3987,27," 311,919 "," 1,616,512 ",5.18,0.68
Lycoming,"116,048","1,442,581","705,850",655,12.43,6.08,0.01451,0.00929,"1,988",1684,1152,1078,0.5795,0.6401,-0.1529,-0.0642,1679,7," 117,043 "," 585,933 ",5.01,0.21
McKean,"42,412","686,305","457,734",1767,16.18,10.79,0.01257,0.00611,754,533,222,259,0.2944,0.4859,-0.2931,0.1667,532,2," 43,622 "," 232,695 ",5.33,1.02
Mercer,"114,234","1,523,870","984,919",1678,13.34,8.62,0.01086,0.00514,"1,323",1241,658,587,0.4974,0.473,-0.062,-0.1079,1239,7.5," 117,098 "," 826,377 ",7.06,0.22
Mifflin,"46,500","199,981","136,503",364,4.3,2.94,0.01155,0.00806,719,537,438,375,0.6092,0.6983,-0.2531,-0.1438,534,1.5," 45,961 "," 113,930 ",2.48,0.19
Monroe,"166,397","2,835,921","1,500,755",2327,17.04,9.02,0.01023,0.00388,"1,782",1703,735,645,0.4125,0.3787,-0.0443,-0.1224,1696,8.5," 163,925 "," 1,039,772 ",6.34,0.42
Montgomery,"819,264","14,677,756","4,203,572",1113,17.92,5.13,0.00962,0.00461,"10,287",7879,3745,3778,0.3641,0.4795,-0.2341,0.0088,7856,32," 776,306 "," 3,355,600 ",4.32,0.19
Montour,"18,557","234,804","82,378",1194,12.65,4.44,0.00798,0.00372,196,148,5,69,0.0255,0.4662,-0.2449,12.8,146,1," 17,776 "," 74,575 ",4.20,0.06
Northampton,"300,813","4,500,700","1,622,500",1823,14.96,5.39,0.00925,0.00296,"4,252",2781,1047,890,0.2462,0.3198,-0.3455,-0.15,2776,10," 293,610 "," 1,165,400 ",3.97,0.36
Northumberland,"93,246","706,454","483,414",859,7.58,5.18,0.01153,0.00604,"1,449",1075,560,563,0.3865,0.5237,-0.2581,0.0054,1075,5," 91,286 "," 351,900 ",3.85,0.34
Perry,"45,685","439,000","167,850",688,9.61,3.67,0.00922,0.00534,554,421,301,244,0.5433,0.5796,-0.2401,-0.1894,421,1," 45,048 "," 177,050 ",3.93,-0.07
Philadelphia,"1,567,442","52,192,556","42,889,949",1474,33.3,27.36,0.03146,0.01857,"16,730",49317,8624,29106,0.5155,0.5902,1.9478,2.375,48440,," 1,531,112 "," 58,691,522 ",38.33,-0.29
Pike,"55,949","1,016,421","376,899",1803,18.17,6.74,0.00965,0.00374,501,540,240,209,0.479,0.387,0.0778,-0.1292,537,2.5," 58,335 "," 410,030 ",7.03,-0.04
Potter,"17,093","361,190","190,745",1927,21.13,11.16,0.01199,0.00579,237,205,90,99,0.3797,0.4829,-0.135,0.1,205,1," 17,142 "," 145,000 ",8.46,0.32
Schuylkill,"144,590","1,249,177","812,675",737,8.64,5.62,0.01194,0.00762,"2,182",1727,1022,1102,0.4684,0.6381,-0.2085,0.0783,1726,5," 146,870 "," 681,642 ",4.64,0.21
Snyder,"40,444","438,997","168,700",1222,10.85,4.17,0.00878,0.00341,436,355,130,138,0.2982,0.3887,-0.1858,0.0615,355,1.5," 38,261 "," 178,871 ",4.68,-0.11
Somerset,"75,522","801,905","340,115",1009,10.62,4.5,0.0102,0.00446,854,770,385,337,0.4508,0.4377,-0.0984,-0.1247,769,2.5," 77,710 "," 265,867 ",3.42,0.32
Sullivan,"6,328","140,568","36,500",1141,22.21,5.77,0.00727,0.00506,68,46,34,32,0.5,0.6957,-0.3235,-0.0588,46,0.5," 6,219 "," 25,000 ",4.02,0.44
Susquehanna,"41,666","685,739","239,174",1458,16.46,5.74,0.00874,0.00394,469,364,211,164,0.4499,0.4505,-0.2239,-0.2227,364,1.5," 41,116 "," 176,736 ",4.30,0.34
Tioga,"41,877","545,830","256,420",1441,13.03,6.12,0.00786,0.00425,412,329,196,178,0.4757,0.541,-0.2015,-0.0918,328,2.5," 40,828 "," 155,000 ",3.80,0.61
Union,"44,954","426,359","229,861",1336,9.48,5.11,0.00783,0.00383,425,352,121,172,0.2847,0.4886,-0.1718,0.4215,351,2," 43,424 "," 156,434 ",3.60,0.42
Venango,"53,119","803,812","690,847",15018,15.13,13.01,0.01052,0.00087,806,559,369,46,0.4578,0.0823,-0.3065,-0.8753,558,3.5," 54,817 "," 502,256 ",9.16,0.42
Warren,"40,396","435,524","213,841",849,10.78,5.29,0.00998,0.00624,539,403,276,252,0.5121,0.6253,-0.2523,-0.087,403,2," 41,025 "," 169,809 ",4.14,0.28
Washington,"208,261","1,988,837","910,586",1045,9.55,4.37,0.01219,0.00418,"2,902",2538,849,871,0.2926,0.3432,-0.1254,0.0259,2516,7," 206,037 "," 680,607 ",3.30,0.32
Wayne,"51,198","734,962","209,603",1310,14.36,4.09,0.00518,0.00313,628,265,315,160,0.5016,0.6038,-0.578,-0.4921,264,2," 51,233 "," 222,225 ",4.34,-0.06
Westmoreland,"357,956","5,062,192","1,633,956",890,14.14,4.56,0.01299,0.00513,"5,303",4650,1539,1836,0.2902,0.3948,-0.1231,0.193,4644,10.5," 363,222 "," 1,161,969 ",3.20,0.43
Wyoming,"27,800","584,819","468,828",2481,21.04,16.86,0.01342,0.0068,418,373,189,189,0.4522,0.5067,-0.1077,0,373,2.5," 27,882 ",,,
York,"442,867","5,593,005","2,077,382",648,12.63,4.69,0.01333,0.00724,"8,118",5904,3188,3208,0.3927,0.5434,-0.2727,0.0063,5895,22," 419,563 "," 1,539,367 ",3.67,0.28
